Order Date,State,Region,Sub-Category,Product Name,Sales,Quantity,Profit
11/13/2017,Illinois,Central,Storage,Safco Industrial Wire Shelving,230.376,3,-48.9549
5/28/2017,South Carolina,South,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,33.2156
10/26/2017,Minnesota,Central,Accessories,LogitechÿLS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,6.7966
10/26/2017,Minnesota,Central,Labels,Avery 511,6.16,2,2.9568
4/5/2016,Texas,Central,Storage,Eldon Portable Mobile Manager,158.368,7,13.8572
9/17/2016,California,West,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633
9/17/2016,California,West,Phones,Panasonic Kx-TS550,73.584,2,8.2782
9/17/2016,California,West,Paper,Xerox 1995,6.48,1,3.1104
1/31/2015,Minnesota,Central,Paper,Xerox 1999,12.96,2,6.2208
1/31/2015,Minnesota,Central,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,16.5354
1/31/2015,Minnesota,Central,Binders,Ibico Standard Transparent Covers,32.96,2,16.1504
11/6/2017,Oregon,West,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788
11/9/2017,New York,East,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,40.5426
6/17/2017,California,West,Binders,Trimflex Flexible Post Binders,51.312,3,17.9592
9/6/2016,Minnesota,Central,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,22.5852
8/29/2016,Illinois,Central,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,22.6184
8/29/2016,Illinois,Central,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,-10.7973
8/29/2016,Illinois,Central,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.0396
12/1/2016,Minnesota,Central,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,11.7208
11/13/2015,Colorado,West,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,-26.8758
11/13/2015,Colorado,West,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385
11/13/2015,Colorado,West,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,-25.8174
11/23/2017,North Carolina,South,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,17.6016
11/23/2017,North Carolina,South,Phones,Speck Products Candyshell Flip Case,27.992,1,2.0994
11/23/2017,North Carolina,South,Art,Newell Chalk Holder,3.304,1,1.0738
10/15/2015,Illinois,Central,Accessories,LogitechÿGaming G510s - Keyboard,339.96,5,67.992
12/25/2017,New York,East,Furnishings,Magnifier Swing Arm Lamp,41.96,2,10.9096
11/3/2016,Iowa,Central,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,22.788
11/3/2016,Iowa,Central,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,13.3476
8/25/2014,Ohio,East,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,14.5348
8/25/2014,Ohio,East,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,1.652
8/25/2014,Ohio,East,Paper,Xerox 1921,23.976,3,7.4925
8/25/2014,Ohio,East,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,44.0316
3/2/2015,Washington,West,Tables,Hon Racetrack Conference Tables,787.53,3,165.3813
4/5/2015,Tennessee,South,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,-115.7156
6/12/2016,Delaware,East,Furnishings,Artistic Insta-Plaque,47.04,3,18.3456
6/12/2016,Delaware,East,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,13.878
6/12/2016,Delaware,East,Storage,"Companion Letter/Legal File, Black",226.56,6,63.4368
6/12/2016,Delaware,East,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,51.759
6/12/2016,Delaware,East,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,19.7316
12/26/2014,Texas,Central,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,-8.5794
9/20/2014,Illinois,Central,Tables,Bevis 44 x 96 Conference Tables,617.7,6,-407.682
11/5/2017,Arizona,West,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,-1.8308
11/5/2017,Arizona,West,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,30.499
11/6/2016,California,West,Chairs,"Global Task Chair, Black",81.424,2,-9.1602
11/6/2016,California,West,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,26.2416
2/2/2017,Ohio,East,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,-11.994
2/2/2017,Ohio,East,Paper,Xerox 1916,78.304,2,29.364
2/2/2017,Ohio,East,Fasteners,Staples,21.456,9,6.9732
10/13/2016,California,West,Paper,Xerox 195,20.04,3,9.6192
10/13/2016,California,West,Paper,Xerox 1880,35.44,1,16.6568
10/13/2016,California,West,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456
10/13/2016,California,West,Fasteners,Ideal Clamps,4.02,2,1.9698
10/13/2016,California,West,Binders,GBC Wire Binding Strips,76.176,3,26.6616
10/13/2016,California,West,Supplies,Fiskars Softgrip Scissors,65.88,6,18.4464
10/13/2016,California,West,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976
9/5/2016,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,10.35
9/18/2017,California,West,Art,Newell 343,8.82,3,2.3814
9/18/2017,California,West,Envelopes,Convenience Packs of Business Envelopes,10.86,3,5.1042
9/18/2017,California,West,Paper,Xerox 1911,143.7,3,68.976
12/22/2017,Missouri,Central,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,218.2518
9/7/2015,California,West,Storage,Safco Industrial Wire Shelving,671.93,7,20.1579
10/22/2014,Ohio,East,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,12.9096
12/5/2016,Wisconsin,Central,Phones,Plantronics CordlessÿPhone Headsetÿwith In-line Volume - M214C,384.45,11,103.8015
12/5/2016,Wisconsin,Central,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,5.9988
12/5/2016,Wisconsin,Central,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,585.552
12/5/2016,Wisconsin,Central,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,80.6285
3/13/2016,Arizona,West,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.766
3/13/2016,Arizona,West,Phones,Jabra BIZ 2300 Duo QD Duo CordedÿHeadset,203.184,2,15.2388
5/31/2015,California,West,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,26.271
5/31/2015,California,West,Paper,Xerox 1883,105.52,4,48.5392
5/31/2015,California,West,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,21.0288
5/28/2015,Washington,West,Art,Newell 311,6.63,3,1.7901
3/1/2014,Washington,West,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,51.4764
11/20/2016,Oklahoma,Central,Labels,Avery 519,14.62,2,6.8714
11/20/2016,Oklahoma,Central,Phones,Avaya 5420 Digital phone,944.93,7,236.2325
5/11/2016,California,West,Paper,Xerox 1920,5.98,1,2.691
12/28/2015,Pennsylvania,East,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,1.3596
11/16/2016,New Mexico,West,Envelopes,Staple envelope,28.4,5,13.348
11/7/2016,Washington,West,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,9.688
9/8/2014,Texas,Central,Art,BIC Brite Liner Highlighters,9.936,3,2.7324
9/8/2014,Texas,Central,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,-1359.992
9/8/2014,Texas,Central,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,-58.6347
9/8/2014,Texas,Central,Chairs,SAFCO Arco Folding Chair,1740.06,9,-24.858
9/8/2014,Texas,Central,Art,Sanford Liquid Accent Highlighters,32.064,6,6.8136
9/8/2014,Texas,Central,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,-453.849
9/8/2014,Texas,Central,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,8.9985
8/5/2014,California,West,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6? x 11?",20.94,3,9.8418
8/5/2014,California,West,Paper,Xerox 1913,110.96,2,53.2608
8/5/2014,California,West,Chairs,"Global Value Steno Chair, Gray",340.144,7,21.259
9/14/2014,Illinois,Central,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,-131.12
9/14/2014,Illinois,Central,Labels,Avery 51,20.16,4,6.552
4/21/2017,Texas,Central,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,-243.16
11/21/2015,Ohio,East,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,-11.3372
11/21/2015,Ohio,East,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,-3.7715
12/15/2015,New York,East,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,1.4104
12/5/2014,Illinois,Central,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,1.8612
12/5/2014,Illinois,Central,Accessories,ImationÿSecure+ Hardware Encrypted USB 2.0ÿFlash Drive; 16GB,408.744,7,76.6395
11/19/2014,Louisiana,South,Phones,AT&T TR1909W,503.96,4,131.0296
11/19/2014,Louisiana,South,Phones,Nokia Lumia 521 (T-Mobile),149.95,5,41.986
11/19/2014,Louisiana,South,Accessories,HP Standard 104 key PS/2 Keyboard,29,2,7.25
11/28/2016,Connecticut,East,Binders,Avery Poly Binder Pockets,7.16,2,3.4368
8/26/2014,California,West,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,22.984
7/16/2016,Texas,Central,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,3.7224
7/16/2016,Texas,Central,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,6.255
10/12/2015,New York,East,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,112.392
10/12/2015,New York,East,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,20.0928
10/12/2015,New York,East,Paper,Xerox 205,51.84,8,24.8832
10/12/2015,New York,East,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,46.9764
10/12/2015,New York,East,Art,4009 Highlighters by Sanford,19.9,5,6.567
10/31/2015,California,West,Envelopes,Poly String Tie Envelopes,14.28,7,6.7116
3/21/2014,Ohio,East,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,1.2038
3/21/2014,Ohio,East,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,1.5876
11/6/2017,New Jersey,East,Storage,Decoflex Hanging Personal Folder File,46.26,3,12.0276
7/6/2017,Pennsylvania,East,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,-2.2586
7/6/2017,Pennsylvania,East,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,5.8203
6/24/2017,Ohio,East,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,6.795
8/3/2014,Colorado,West,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,-161.875
8/3/2014,Colorado,West,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2925
12/17/2017,Texas,Central,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,-178.9668
6/3/2017,Tennessee,South,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,9.6712
12/9/2017,California,West,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,44.4768
12/1/2017,Michigan,Central,Storage,"Tennsco Lockers, Gray",83.92,4,5.8744
12/1/2017,Michigan,Central,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,35.6346
12/1/2017,Michigan,Central,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,7.4824
12/1/2017,Michigan,Central,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,16.2099
12/1/2017,Michigan,Central,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,3.6796
2/9/2015,Texas,Central,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,6.5
1/2/2015,Ohio,East,Labels,Avery 505,23.68,2,8.88
1/2/2015,Ohio,East,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,-244.323
1/2/2015,Ohio,East,Phones,Speck Products Candyshell Flip Case,62.982,3,-14.6958
1/2/2015,Ohio,East,Machines,Cisco 9971 IP Video Phone Charcoal,1188,9,-950.4
1/2/2015,Ohio,East,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,4.4792
10/28/2016,California,West,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,26.0568
10/28/2016,California,West,Phones,Adtran 1202752G1,302.376,3,22.6782
12/24/2015,Ohio,East,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,1.8148
12/24/2015,Ohio,East,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,8.2302
12/24/2015,Ohio,East,Binders,Ibico Standard Transparent Covers,19.776,4,-13.8432
12/24/2015,Ohio,East,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,19.0848
12/24/2015,Ohio,East,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,-383.9904
12/24/2015,Ohio,East,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,2.7168
8/9/2015,Michigan,Central,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1,0.968
8/9/2015,Michigan,Central,Tables,Bevis 36 x 72 Conference Tables,622.45,5,136.939
8/9/2015,Michigan,Central,Storage,Rogers Deluxe File Chest,21.98,1,0.2198
2/28/2015,Tennessee,South,Chairs,Global Low Back Tilter Chair,161.568,2,-28.2744
2/28/2015,Tennessee,South,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8,43.8408
9/13/2014,North Carolina,South,Binders,GBC Instant Index System for Binding Systems,18.648,7,-12.432
4/7/2017,Florida,South,Tables,Bush Advantage Collection Round Conference Table,233.86,2,-102.048
4/7/2017,Florida,South,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,-248.2458
4/7/2017,Florida,South,Binders,GBC Instant Index System for Binding Systems,5.328,2,-3.552
4/7/2017,Florida,South,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0
4/7/2017,Florida,South,Accessories,LogitechÿP710e Mobile Speakerphone,617.976,3,-7.7247
11/12/2017,California,West,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,4.752
6/4/2016,Illinois,Central,Paper,Xerox 1957,25.92,5,9.396
6/4/2016,Illinois,Central,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,-356.728
6/4/2016,Illinois,Central,Furnishings,Staple-based wall hangings,11.688,3,-4.6752
6/4/2016,Illinois,Central,Phones,PureGear Roll-On Screen Protector,31.984,2,11.1944
6/4/2016,Illinois,Central,Tables,KI Conference Tables,177.225,5,-120.513
6/4/2016,Illinois,Central,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,-2.8308
6/4/2016,Illinois,Central,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,1.2038
6/1/2014,Minnesota,Central,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,580.5394
6/1/2014,Minnesota,Central,Storage,Safco Steel Mobile File Cart,166.72,2,41.68
6/1/2014,Minnesota,Central,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,23.94
6/1/2014,Minnesota,Central,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,496.0725
6/1/2014,Minnesota,Central,Paper,Xerox 205,25.92,4,12.4416
12/10/2016,California,West,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,28.1372
9/11/2016,California,West,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,3.5767
9/11/2016,California,West,Accessories,LogitechÿP710e Mobile Speakerphone,3347.37,13,636.0003
12/10/2016,New York,East,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6,22.5624
12/10/2016,New York,East,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4,162.864

10/9/2015,Virginia,South,Storage,"Decoflex Hanging Personal Folder File, Blue",30.84,2,8.3268
12/23/2017,California,West,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",13.48,4,5.9312
10/22/2016,Michigan,Central,Furnishings,Eldon 200 Class Desk Accessories,31.4,5,10.048
4/29/2014,New York,East,Furnishings,Dax Clear Box Frame,17.46,2,5.9364
4/25/2015,California,West,Binders,Fellowes Black Plastic Comb Bindings,13.944,3,4.5318
6/26/2017,California,West,Storage,Eldon Shelf Savers Cubes and Bins,83.76,12,1.6752
10/14/2017,Maryland,East,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",37.66,7,18.4534
12/9/2014,California,West,Paper,Xerox 1987,34.68,6,16.9932
6/20/2017,New York,East,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,149.95,5,14.995
6/20/2017,New York,East,Binders,Acco D-Ring Binder w/DublLock,51.312,3,18.6006
6/26/2017,Michigan,Central,Paper,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",4.54,1,2.043
6/26/2017,Michigan,Central,Art,Fluorescent Highlighters by Dixon,15.92,4,5.4128
6/26/2017,Michigan,Central,Phones,Nortel Networks T7316 E Nt8 B27,543.92,8,135.98
11/10/2016,California,West,Storage,File Shuttle I and Handi-File,155.82,7,42.0714
